"exp_id";"experiment_tag";"ssp";"regional_aggregation";"calibration_id";"cooperation";"climate_module";"damage_module";"saving_rate";"policy"
"expBURKEtest_enerdata56_ssp2_coopngsw_clWITCHco2_damBURKESR_SRfix_polCBA_xxBurke_iso3";"expBURKEtest";"ssp2";"enerdata56";"kaliPUMICE";"coopngsw";"clWITCHco2";"damBURKESR";"SRfix";"polCBA_xxBurke_iso3"
"expBURKEtest_enerdata56_ssp2_coopngsw_clWITCHco2_damBURKESR_SRfix_polCBA_xxBurke_iso3";"expBURKEtest";"ssp2";"enerdata56";"kaliPUMICE";"coopngsw";"clWITCHco2";"damBURKESR";"SRfix";"polCBA_xxBurke_iso3"
"expBURKEtest_enerdata56_ssp2_coopngsw_clWITCHco2_damBURKESR_SRfix_polCBA_xxBurke_iso3";"expBURKEtest";"ssp2";"enerdata56";"kaliPUMICE";"coopngsw";"clWITCHco2";"damBURKESR";"SRfix";"polCBA_xxBurke_iso3"
"expBURKEtest_enerdata56_ssp2_coopngsw_clWITCHco2_damBURKESR_SRfix_polCBA_xxBurke_iso3";"expBURKEtest";"ssp2";"enerdata56";"kaliPUMICE";"coopngsw";"clWITCHco2";"damBURKESR";"SRfix";"polCBA_xxBurke_iso3"
"expBURKEtest_enerdata56_ssp2_coopngsw_clWITCHco2_damBURKESR_SRfix_polCBA_xxBurke_iso3";"expBURKEtest";"ssp2";"enerdata56";"kaliPUMICE";"coopngsw";"clWITCHco2";"damBURKESR";"SRfix";"polCBA_xxBurke_iso3"
"expBURKEtest_enerdata56_ssp2_coopngsw_clWITCHco2_damBURKESR_SRfix_polCBA_xxBurke_iso3";"expBURKEtest";"ssp2";"enerdata56";"kaliPUMICE";"coopngsw";"clWITCHco2";"damBURKESR";"SRfix";"polCBA_xxBurke_iso3"
"expBURKEtest_enerdata56_ssp2_coopngsw_clWITCHco2_damBURKESR_SRfix_polCBA_xxBurke_iso3";"expBURKEtest";"ssp2";"enerdata56";"kaliPUMICE";"coopngsw";"clWITCHco2";"damBURKESR";"SRfix";"polCBA_xxBurke_iso3"
"expBURKEtest_enerdata56_ssp2_coopngsw_clWITCHco2_damBURKESR_SRfix_polCBA_xxBurke_iso3";"expBURKEtest";"ssp2";"enerdata56";"kaliPUMICE";"coopngsw";"clWITCHco2";"damBURKESR";"SRfix";"polCBA_xxBurke_iso3"
"expBURKEtest_enerdata56_ssp2_coopngsw_clWITCHco2_damBURKESR_SRfix_polCBA_xxBurke_iso3";"expBURKEtest";"ssp2";"enerdata56";"kaliPUMICE";"coopngsw";"clWITCHco2";"damBURKESR";"SRfix";"polCBA_xxBurke_iso3"
"expBURKEtest_enerdata56_ssp2_coopngsw_clWITCHco2_damBURKESR_SRfix_polCBA_xxBurke_iso3";"expBURKEtest";"ssp2";"enerdata56";"kaliPUMICE";"coopngsw";"clWITCHco2";"damBURKESR";"SRfix";"polCBA_xxBurke_iso3"
"expBURKEtest_enerdata56_ssp2_coopngsw_clWITCHco2_damBURKESR_SRfix_polCBA_xxBurke_iso3";"expBURKEtest";"ssp2";"enerdata56";"kaliPUMICE";"coopngsw";"clWITCHco2";"damBURKESR";"SRfix";"polCBA_xxBurke_iso3"
"expBURKEtest_enerdata56_ssp2_coopngsw_clWITCHco2_damBURKESR_SRfix_polCBA_xxBurke_iso3";"expBURKEtest";"ssp2";"enerdata56";"kaliPUMICE";"coopngsw";"clWITCHco2";"damBURKESR";"SRfix";"polCBA_xxBurke_iso3"
"expBURKEtest_enerdata56_ssp2_coopngsw_clWITCHco2_damBURKESR_SRfix_polCBA_xxBurke_iso3";"expBURKEtest";"ssp2";"enerdata56";"kaliPUMICE";"coopngsw";"clWITCHco2";"damBURKESR";"SRfix";"polCBA_xxBurke_iso3"
"expBURKEtest_enerdata56_ssp2_coopngsw_clWITCHco2_damBURKESR_SRfix_polCBA_xxBurke_iso3";"expBURKEtest";"ssp2";"enerdata56";"kaliPUMICE";"coopngsw";"clWITCHco2";"damBURKESR";"SRfix";"polCBA_xxBurke_iso3"
"expBURKEtest_enerdata56_ssp2_coopngsw_clWITCHco2_damBURKESR_SRfix_polCBA_xxBurke_iso3";"expBURKEtest";"ssp2";"enerdata56";"kaliPUMICE";"coopngsw";"clWITCHco2";"damBURKESR";"SRfix";"polCBA_xxBurke_iso3"
"expBURKEtest_enerdata56_ssp2_coopngsw_clWITCHco2_damBURKESR_SRfix_polCBA_xxBurke_iso3";"expBURKEtest";"ssp2";"enerdata56";"kaliPUMICE";"coopngsw";"clWITCHco2";"damBURKESR";"SRfix";"polCBA_xxBurke_iso3"
