"t";"n";"year";"MIU";"ABATECOST";"ABATECOST_ED";"ABATECOST_PB";"ABATEEMI";"C";"DAMAGES";"DAMFRAC";"E";"EIND";"I";"K";"S";"Y";"YGROSS";"L";"scc";"photel";"exp_id";"reg_n_id"
1;"arg";2015;0;0;0;0;0;0,189679911943748;0,052332711255;0,166666666666667;0,213814035087719;0,1682;0,0719836443312525;0,614759278811154;0,2751;0,261663556275;0,31399626753;42,045;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_arg"
1;"aus";2015;0;0;0;0;0;0,601936760335295;0,16607442691;0,166666666666667;0,448614035087719;0,403;0,228435374214705;2,38008082016763;0,2751;0,83037213455;0,99644656146;24,14;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_aus"
1;"aut";2015;0;0;0;0;0;0,219030856443923;0,0604306404866666;0,166666666666667;0,113144035087719;0,06753;0,08312234598941;0,893288554677773;0,2751;0,302153202433333;0,36258384292;8,556;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_aut"
1;"bel";2015;0;0;0;0;0;0,261066940922627;0,0720284014133333;0,166666666666667;0,139674035087719;0,09406;0,09907506614404;1,10159068653773;0,2751;0,360142007066667;0,43217040848;11,005;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_bel"
1;"bgr";2015;0;0;0;0;0;0,0220812933133833;0,00609223156666667;0,166666666666667;0,0978440350877193;0,05223;0,00837986451995;0,0859443506884539;0,2751;0,0304611578333333;0,0365533894;7,267;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_bgr"
1;"blt";2015;0;0;0;0;0;0,0417682739975508;0,0115238719816667;0,166666666666667;0,0825450350877193;0,036931;0,0158510859107825;0,154683510207516;0,2751;0,0576193599083333;0,06914323189;6,774;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_blt"
1;"bra";2015;0;0;0;0;0;0,785909219700605;0,21683245129;0,166666666666667;0,577514035087719;0,5319;0,298253036749395;2,86990990287935;0,2751;1,08416225645;1,30099470774;203,15;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_bra"
1;"can";2015;0;0;0;0;0;0,819168639891525;0,22600872945;0,166666666666667;0,596514035087719;0,5509;0,310875007358475;3,59140851123766;0,2751;1,13004364725;1,3560523767;35,858;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_can"
1;"chl";2015;0;0;0;0;0;0,106520576265308;0,0293890402166667;0,166666666666667;0,125014035087719;0,0794;0,040424624818025;0,351219091304706;0,2751;0,146945201083333;0,1763342413;17,87;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_chl"
1;"chn";2015;0;0;0;0;0;3,52914678839646;0,973692037079999;0,166666666666667;10,6356140350877;10,59;1,33931339700354;8,88376177355013;0,2751;4,8684601854;5,84215222248;1363,42;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_chn"
