"t";"year";"WORLD_E";"FORC";"TATM";"TOCEAN";"exp_id"
1;2015;37,6404870858;2,51681522368793;0,85;0,0068;"expBURKEtest_enerdata56_ssp2_coopngsw_clWITCHco2_damBURKESR_SRfix_polCBA_xxBurke_iso3"
10;2060;37,5726457567505;4,00667716602184;2,60982662889399;2,43894185615285;"expBURKEtest_enerdata56_ssp2_coopngsw_clWITCHco2_damBURKESR_SRfix_polCBA_xxBurke_iso3"
11;2065;37,4341666954348;4,15639551853466;2,73283787601931;2,56961036723841;"expBURKEtest_enerdata56_ssp2_coopngsw_clWITCHco2_damBURKESR_SRfix_polCBA_xxBurke_iso3"
12;2070;37,2319957092661;4,303234744156;2,85093376765442;2,6944236855843;"expBURKEtest_enerdata56_ssp2_coopngsw_clWITCHco2_damBURKESR_SRfix_polCBA_xxBurke_iso3"
13;2075;36,9482607275191;4,44693173980537;2,96543463321605;2,81410046582592;"expBURKEtest_enerdata56_ssp2_coopngsw_clWITCHco2_damBURKESR_SRfix_polCBA_xxBurke_iso3"
14;2080;36,5981163145451;4,58718377281816;3,07645324180944;2,92981943839462;"expBURKEtest_enerdata56_ssp2_coopngsw_clWITCHco2_damBURKESR_SRfix_polCBA_xxBurke_iso3"
15;2085;36,1555846655589;4,72385234241623;3,18437270141124;3,04194423722647;"expBURKEtest_enerdata56_ssp2_coopngsw_clWITCHco2_damBURKESR_SRfix_polCBA_xxBurke_iso3"
16;2090;35,6248697855449;4,85666964321045;3,28926702923659;3,15085338725015;"expBURKEtest_enerdata56_ssp2_coopngsw_clWITCHco2_damBURKESR_SRfix_polCBA_xxBurke_iso3"
17;2095;34,9861672789759;4,98544910502358;3,39117928881365;3,2566925689524;"expBURKEtest_enerdata56_ssp2_coopngsw_clWITCHco2_damBURKESR_SRfix_polCBA_xxBurke_iso3"
18;2100;34,2174864889015;5,10992218441655;3,49008717961219;3,3595289958801;"expBURKEtest_enerdata56_ssp2_coopngsw_clWITCHco2_damBURKESR_SRfix_polCBA_xxBurke_iso3"
19;2105;33,4169255628967;5,20033368975444;3,58590050429608;3,45936143387122;"expBURKEtest_enerdata56_ssp2_coopngsw_clWITCHco2_damBURKESR_SRfix_polCBA_xxBurke_iso3"
