"t","year","experiment_tag","ssp","regional_aggregation","calibration_id","cooperation","climate_module","damage_module","saving_rate","policy","WORLD_E","FORC","TATM","TOCEAN","exp_id"
1,2015,"TBD","ssp2","enerdata35","kaliPUMICE","coop","clWITCHco2","damBURKESR","SRfix","polCBA",37.6404870858,2.51681522368793,0.85,0.0068,"TBD_enerdata35_ssp2_coop_clWITCHco2_damBURKESR_SRfix_polCBA"
10,2060,"TBD","ssp2","enerdata35","kaliPUMICE","coop","clWITCHco2","damBURKESR","SRfix","polCBA",11.3583056413484,3.33095171349871,2.31801360124357,2.24762588986671,"TBD_enerdata35_ssp2_coop_clWITCHco2_damBURKESR_SRfix_polCBA"
11,2065,"TBD","ssp2","enerdata35","kaliPUMICE","coop","clWITCHco2","damBURKESR","SRfix","polCBA",10.6389013010808,3.36935397408725,2.36042467057449,2.30144845870535,"TBD_enerdata35_ssp2_coop_clWITCHco2_damBURKESR_SRfix_polCBA"
12,2070,"TBD","ssp2","enerdata35","kaliPUMICE","coop","clWITCHco2","damBURKESR","SRfix","polCBA",9.75670069810231,3.40811620943704,2.39907505019399,2.34654512630651,"TBD_enerdata35_ssp2_coop_clWITCHco2_damBURKESR_SRfix_polCBA"
13,2075,"TBD","ssp2","enerdata35","kaliPUMICE","coop","clWITCHco2","damBURKESR","SRfix","polCBA",8.71999164891044,3.4453909480486,2.43423509480556,2.38671258436442,"TBD_enerdata35_ssp2_coop_clWITCHco2_damBURKESR_SRfix_polCBA"
14,2080,"TBD","ssp2","enerdata35","kaliPUMICE","coop","clWITCHco2","damBURKESR","SRfix","polCBA",7.48471759011009,3.47980204444018,2.46674934992591,2.42305108066683,"TBD_enerdata35_ssp2_coop_clWITCHco2_damBURKESR_SRfix_polCBA"
15,2085,"TBD","ssp2","enerdata35","kaliPUMICE","coop","clWITCHco2","damBURKESR","SRfix","polCBA",6.02531828442442,3.50985071288199,2.49642898359335,2.4564653380609,"TBD_enerdata35_ssp2_coop_clWITCHco2_damBURKESR_SRfix_polCBA"
16,2090,"TBD","ssp2","enerdata35","kaliPUMICE","coop","clWITCHco2","damBURKESR","SRfix","polCBA",4.29338465876067,3.53401938076781,2.52301225105617,2.48702388330464,"TBD_enerdata35_ssp2_coop_clWITCHco2_damBURKESR_SRfix_polCBA"
17,2095,"TBD","ssp2","enerdata35","kaliPUMICE","coop","clWITCHco2","damBURKESR","SRfix","polCBA",2.24439087215811,3.55054663276272,2.54585919423943,2.51454269820581,"TBD_enerdata35_ssp2_coop_clWITCHco2_damBURKESR_SRfix_polCBA"
18,2100,"TBD","ssp2","enerdata35","kaliPUMICE","coop","clWITCHco2","damBURKESR","SRfix","polCBA",-0.071713649781429,3.55744420554406,2.5641318203123,2.53848912621978,"TBD_enerdata35_ssp2_coop_clWITCHco2_damBURKESR_SRfix_polCBA"
