"n","iso3","region_key"
"arg","arg","enerdata56_arg"
"aus","aus","enerdata56_aus"
"aut","aut","enerdata56_aut"
"bel","bel","enerdata56_bel"
"bgr","bgr","enerdata56_bgr"
"blt","EST","enerdata56_blt"
"blt","LTU","enerdata56_blt"
"blt","LVA","enerdata56_blt"
"bra","bra","enerdata56_bra"
"can","can","enerdata56_can"
"chl","chl","enerdata56_chl"
"chn","chn","enerdata56_chn"
"cor","KOR","enerdata56_cor"
"cro","HRV","enerdata56_cro"
"dnk","dnk","enerdata56_dnk"
"egy","egy","enerdata56_egy"
"esp","esp","enerdata56_esp"
"fin","fin","enerdata56_fin"
"fra","fra","enerdata56_fra"
"gbr","gbr","enerdata56_gbr"
"golf57","ARE","enerdata56_golf57"
"golf57","BHR","enerdata56_golf57"
"golf57","IRN","enerdata56_golf57"
"golf57","IRQ","enerdata56_golf57"
"golf57","KWT","enerdata56_golf57"
"golf57","OMN","enerdata56_golf57"
"golf57","QAT","enerdata56_golf57"
"golf57","SAU","enerdata56_golf57"
"golf57","YEM","enerdata56_golf57"
"grc","grc","enerdata56_grc"
"hun","hun","enerdata56_hun"
"idn","idn","enerdata56_idn"
"irl","irl","enerdata56_irl"
"ita","ita","enerdata56_ita"
"jpn","jpn","enerdata56_jpn"
"meme","ISR","enerdata56_meme"
"meme","JOR","enerdata56_meme"
"meme","LBN","enerdata56_meme"
"meme","PSE","enerdata56_meme"
"meme","SYR","enerdata56_meme"
"mex","mex","enerdata56_mex"
"mys","mys","enerdata56_mys"
"nde","IND","enerdata56_nde"
"nld","nld","enerdata56_nld"
"noan","ESH","enerdata56_noan"
"noan","MAR","enerdata56_noan"
"noan","TUN","enerdata56_noan"
"noap","DZA","enerdata56_noap"
"noap","LBY","enerdata56_noap"
"nor","nor","enerdata56_nor"
"oeu","ALA","enerdata56_oeu"
"oeu","ALB","enerdata56_oeu"
"oeu","AND","enerdata56_oeu"
"oeu","BIH","enerdata56_oeu"
"oeu","CYP","enerdata56_oeu"
"oeu","FRO","enerdata56_oeu"
"oeu","GGY","enerdata56_oeu"
"oeu","GIB","enerdata56_oeu"
"oeu","GRL","enerdata56_oeu"
"oeu","IMN","enerdata56_oeu"
"oeu","ISL","enerdata56_oeu"
"oeu","JEY","enerdata56_oeu"
"oeu","KSV","enerdata56_oeu"
"oeu","LIE","enerdata56_oeu"
"oeu","LUX","enerdata56_oeu"
"oeu","MCO","enerdata56_oeu"
"oeu","MKD","enerdata56_oeu"
"oeu","MLT","enerdata56_oeu"
