"","n","iso3","t","value","year"
"1","arg","ARG",38,0.386204311366986,2200
"2","aus","AUS",38,0.342948466416384,2200
"3","aut","AUT",38,-0.468402968126673,2200
"4","bel","BEL",38,-0.106353847367616,2200
"5","bgr","BGR",38,-0.0578089257746236,2200
"6","blt","EST",38,-0.807403028479482,2200
"7","blt","LTU",38,-0.807403028479482,2200
"8","blt","LVA",38,-0.807403028479482,2200
"9","bra","BRA",38,0.691657890436425,2200
"10","can","CAN",38,-1.01986620020257,2200
"11","chl","CHL",38,-0.117032913909323,2200
"12","chn","CHN",38,0.387738537609003,2200
"13","cor","KOR",38,-0.00301362526079801,2200
"14","cro","HRV",38,0.13100080460944,2200
"15","dnk","DNK",38,-0.384163777460689,2200
"16","egy","EGY",38,0.735086489298436,2200
"17","esp","ESP",38,0.356531282450757,2200
"18","fin","FIN",38,-1.50823794991209,2200
"19","fra","FRA",38,0.0142087724872299,2200
"20","gbr","GBR",38,-0.172138650329749,2200
"21","golf57","ARE",38,0.744795357047209,2200
"22","golf57","BHR",38,0.744795357047209,2200
"23","golf57","IRN",38,0.744795357047209,2200
"24","golf57","IRQ",38,0.744795357047209,2200
"25","golf57","KWT",38,0.744795357047209,2200
"26","golf57","OMN",38,0.744795357047209,2200
"27","golf57","QAT",38,0.744795357047209,2200
"28","golf57","SAU",38,0.744795357047209,2200
"29","golf57","YEM",38,0.744795357047209,2200
"30","grc","GRC",38,0.435122773249261,2200
"31","hun","HUN",38,-0.0210107607441336,2200
"32","idn","IDN",38,0.732406405818323,2200
"33","irl","IRL",38,-0.251644569287348,2200
"34","ita","ITA",38,0.258449719174986,2200
"35","jpn","JPN",38,0.334875789233582,2200
"36","meme","ISR",38,0.427429680922711,2200
"37","meme","JOR",38,0.427429680922711,2200
"38","meme","LBN",38,0.427429680922711,2200
"39","meme","PSE",38,0.427429680922711,2200
"40","meme","SYR",38,0.427429680922711,2200
"41","mex","MEX",38,0.589340405385796,2200
"42","mys","MYS",38,0.746377823878544,2200
"43","nde","IND",38,0.804373101794538,2200
"44","nld","NLD",38,-0.20701736755365,2200
"45","noan","ESH",38,0.538808933475014,2200
"46","noan","MAR",38,0.538808933475014,2200
"47","noan","TUN",38,0.538808933475014,2200
"48","noap","DZA",38,0.570276223516492,2200
"49","noap","LBY",38,0.570276223516492,2200
"50","nor","NOR",38,-0.892203882768595,2200
"51","oeu","ALA",38,-0.483594380656978,2200
"52","oeu","ALB",38,-0.483594380656978,2200
"53","oeu","AND",38,-0.483594380656978,2200
"54","oeu","BIH",38,-0.483594380656978,2200
"55","oeu","CYP",38,-0.483594380656978,2200
"56","oeu","FRO",38,-0.483594380656978,2200
"57","oeu","GGY",38,-0.483594380656978,2200
"58","oeu","GIB",38,-0.483594380656978,2200
"59","oeu","IMN",38,-0.483594380656978,2200
"60","oeu","ISL",38,-0.483594380656978,2200
"61","oeu","JEY",38,-0.483594380656978,2200
"62","oeu","KSV",38,-0.483594380656978,2200
"63","oeu","LIE",38,-0.483594380656978,2200
"64","oeu","LUX",38,-0.483594380656978,2200
"65","oeu","MCO",38,-0.483594380656978,2200
"66","oeu","MKD",38,-0.483594380656978,2200
"67","oeu","MLT",38,-0.483594380656978,2200
"68","oeu","MNE",38,-0.483594380656978,2200
"69","oeu","SJM",38,-0.483594380656978,2200
"70","oeu","SMR",38,-0.483594380656978,2200
"71","oeu","SPM",38,-0.483594380656978,2200
"72","oeu","SRB",38,-0.483594380656978,2200
"73","oeu","VAT",38,-0.483594380656978,2200
"74","osea","BRN",38,0.514862209240294,2200
"75","osea","CCK",38,0.514862209240294,2200
"76","osea","HKG",38,0.514862209240294,2200
"77","osea","KHM",38,0.514862209240294,2200
"78","osea","LAO",38,0.514862209240294,2200
