"iso3","ene35"
"ARG","arg"
"AUS","aus"
"BRA","bra"
"CAN","can"
"CHL","chl"
"CHN","chn"
"KOR","cor"
"EGY","egy"
"AUT","eu"
"BEL","eu"
"BGR","eu"
"CYP","eu"
"CZE","eu"
"DEU","eu"
"DNK","eu"
"ESP","eu"
"EST","eu"
"FIN","eu"
"FRA","eu"
"GBR","eu"
"GIB","eu"
"GLP","eu"
"GRC","eu"
"GUF","eu"
"HRV","eu"
"HUN","eu"
"IRL","eu"
"ITA","eu"
"LTU","eu"
"LUX","eu"
"LVA","eu"
"MAF","eu"
"MLT","eu"
"MTQ","eu"
"MYT","eu"
"NLD","eu"
"POL","eu"
"PRT","eu"
"REU","eu"
"ROU","eu"
"SVK","eu"
"SVN","eu"
"SWE","eu"
"ARE","golf57"
"BHR","golf57"
"IRN","golf57"
"IRQ","golf57"
"KWT","golf57"
"OMN","golf57"
"QAT","golf57"
"SAU","golf57"
"YEM","golf57"
"IDN","idn"
"JPN","jpn"
"ISR","meme"
"JOR","meme"
"LBN","meme"
"PSE","meme"
"SYR","meme"
"MEX","mex"
"MYS","mys"
"IND","nde"
"ESH","noan"
"MAR","noan"
"TUN","noan"
"DZA","noap"
"LBY","noap"
"NOR","nor"
"ALA","oeu"
"ALB","oeu"
"AND","oeu"
"BIH","oeu"
"FRO","oeu"
"GGY","oeu"
"IMN","oeu"
"ISL","oeu"
"JEY","oeu"
"KSV","oeu"
"LIE","oeu"
"MCO","oeu"
"MKD","oeu"
"MNE","oeu"
"SJM","oeu"
"SMR","oeu"
"SPM","oeu"
"SRB","oeu"
"VAT","oeu"
"KOS","oeu"
"BRN","osea"
"CCK","osea"
"HKG","osea"
"KHM","osea"
"LAO","osea"
"MAC","osea"
"MMR","osea"
"MNG","osea"
"PHL","osea"
"PRK","osea"
"SGP","osea"
"TWN","osea"
"ABW","rcam"
"AIA","rcam"
"ATG","rcam"
"BES","rcam"
"BHS","rcam"
"BLM","rcam"
"BLZ","rcam"
"BMU","rcam"
"BRB","rcam"
"CRI","rcam"
"CUB","rcam"
"CUW","rcam"
"CYM","rcam"
"DMA","rcam"
"DOM","rcam"
"GRD","rcam"
"GTM","rcam"
"HND","rcam"
"HTI","rcam"
"JAM","rcam"
"KNA","rcam"
"LCA","rcam"
"MSR","rcam"
"NIC","rcam"
"PAN","rcam"
"PRI","rcam"
"SGS","rcam"
"SLV","rcam"
"SXM","rcam"
"TCA","rcam"
"TTO","rcam"
"VCT","rcam"
"VGB","rcam"
"VIR","rcam"
"ARM","ris"
"AZE","ris"
"BLR","ris"
"GEO","ris"
"KAZ","ris"
"KGZ","ris"
"MDA","ris"
"TJK","ris"
"TKM","ris"
"UZB","ris"
"ASM","rjan57"
"COK","rjan57"
"CXR","rjan57"
"FJI","rjan57"
"FSM","rjan57"
"GUM","rjan57"
"HMD","rjan57"
"KIR","rjan57"
"MHL","rjan57"
"MNP","rjan57"
"NCL","rjan57"
"NFK","rjan57"
"NIU","rjan57"
"NRU","rjan57"
"NZL","rjan57"
"PCN","rjan57"
"PLW","rjan57"
"PNG","rjan57"
"PYF","rjan57"
"SLB","rjan57"
"TKL","rjan57"
"TLS","rjan57"
"TON","rjan57"
"TUV","rjan57"
"UMI","rjan57"
"VUT","rjan57"
"WLF","rjan57"
"WSM","rjan57"
"AGO","rsaf"
"ATF","rsaf"
"BDI","rsaf"
"BEN","rsaf"
"BFA","rsaf"
"BVT","rsaf"
"BWA","rsaf"
"CAF","rsaf"
"CIV","rsaf"
"CMR","rsaf"
"COD","rsaf"
"COG","rsaf"
"COM","rsaf"
"CPV","rsaf"
"DJI","rsaf"
"ERI","rsaf"
"ETH","rsaf"
"GAB","rsaf"
"GHA","rsaf"
"GIN","rsaf"
"GMB","rsaf"
"GNB","rsaf"
"GNQ","rsaf"
"IOT","rsaf"
"KEN","rsaf"
"LBR","rsaf"
"LSO","rsaf"
"MDG","rsaf"
"MLI","rsaf"
"MOZ","rsaf"
"SDF","rsaf"
"SOL","rsaf"
"SDS","rsaf"
"SAH","rsaf"
"MRT","rsaf"
"MUS","rsaf"
"MWI","rsaf"
"NAM","rsaf"
"NER","rsaf"
"NGA","rsaf"
"RWA","rsaf"
"SDN","rsaf"
"SEN","rsaf"
"SHN","rsaf"
"SLE","rsaf"
"SOM","rsaf"
"SSD","rsaf"
"STP","rsaf"
"SWZ","rsaf"
"SYC","rsaf"
"TCD","rsaf"
"TGO","rsaf"
"TZA","rsaf"
"UGA","rsaf"
"ZMB","rsaf"
"ZWE","rsaf"
"BOL","rsam"
"COL","rsam"
"ECU","rsam"
"FLK","rsam"
"GUY","rsam"
"PER","rsam"
"PRY","rsam"
"SUR","rsam"
"URY","rsam"
"VEN","rsam"
"AFG","rsas"
"BGD","rsas"
"BTN","rsas"
"LKA","rsas"
"MDV","rsas"
"NPL","rsas"
"PAK","rsas"
"RUS","rus"
"CHE","sui"
"THA","tha"
"TUR","tur"
"UKR","ukr"
"USA","usa"
"VNM","vnm"
"ZAF","zaf"
